Title,year,Rating,Run Time,imdb_rating,Budget,Gross_worldwide,Director,Metascore
Into the Wild,2007,R,2h 28m,8.1,"$15,000,000 (estimated)","$56,675,895",Sean Penn,73
The Silence of the Lambs,1991,R,1h 58m,8.6,"$19,000,000 (estimated)","$272,742,922",Jonathan Demme,85
To Be or Not to Be,1942,Passed,1h 39m,8.2,null,"$4,578,000",Ernst Lubitsch,86
Hachi: A Dog's Tale,2009,G,1h 33m,8.1,"$16,000,000 (estimated)","$46,749,646",Lasse Hallström,null
M,1931,Passed,1h 39m,8.3,null,"$35,566",Fritz Lang,null
The Sixth Sense,1999,PG-13,1h 47m,8.2,"$40,000,000 (estimated)","$672,806,432",M. Night Shyamalan,64
Taxi Driver,1976,R,1h 54m,8.3,"$1,300,000 (estimated)","$28,570,902",Martin Scorsese,94
The Lion King,1994,G,1h 28m,8.5,"$45,000,000 (estimated)","$1,063,611,805",Roger Allers,88
Paths of Glory,1957,Approved,1h 28m,8.4,"$935,000 (estimated)","$5,252",Stanley Kubrick,90
A Beautiful Mind,2001,PG-13,2h 15m,8.2,"$58,000,000 (estimated)","$316,791,257",Ron Howard,72
Million Dollar Baby,2004,PG-13,2h 12m,8.1,"$30,000,000 (estimated)","$216,763,646",Clint Eastwood,86
How to Train Your Dragon,2010,PG,1h 38m,8.1,"$165,000,000 (estimated)","$494,879,471",Dean DeBlois,75
Star Wars: Episode VI - Return of the Jedi,1983,PG,2h 11m,8.3,"$32,500,000 (estimated)","$475,106,177",Richard Marquand,58
Tokyo Story,1953,Not Rated,2h 16m,8.2,null,"$40,468",Yasujirô Ozu,null
Inglourious Basterds,2009,R,2h 33m,8.3,"$70,000,000 (estimated)","$321,457,747",Quentin Tarantino,69
Catch Me If You Can,2002,PG-13,2h 21m,8.1,"$52,000,000 (estimated)","$352,114,312",Steven Spielberg,75
The Godfather,1972,R,2h 55m,9.2,"$6,000,000 (estimated)","$250,341,816",Francis Ford Coppola,100
Mad Max: Fury Road,2015,R,2h,8.1,"$150,000,000 (estimated)","$375,709,470",George Miller,90
The Shining,1980,R,2h 26m,8.4,"$19,000,000 (estimated)","$47,299,460",Stanley Kubrick,66
Saving Private Ryan,1998,R,2h 49m,8.6,"$70,000,000 (estimated)","$482,349,603",Steven Spielberg,91
The Best Years of Our Lives,1946,Approved,2h 50m,8.1,"$2,100,000 (estimated)","$23,656,620",William Wyler,93
Dead Poets Society,1989,PG,2h 8m,8.1,"$16,400,000 (estimated)","$235,860,116",Peter Weir,79
The Deer Hunter,1978,R,3h 3m,8.1,"$15,000,000 (estimated)","$49,074,379",Michael Cimino,86
Hacksaw Ridge,2016,R,2h 19m,8.1,"$40,000,000 (estimated)","$180,563,636",Mel Gibson,71
Ikiru,1952,Not Rated,2h 23m,8.3,null,"$96,302",Akira Kurosawa,91
In the Name of the Father,1993,R,2h 13m,8.1,"$13,000,000 (estimated)","$65,796,862",Jim Sheridan,84
Life of Brian,1979,R,1h 34m,8,"$4,000,000 (estimated)","$20,745,728",Terry Jones,77
The Boat,1981,null,null,8.4,"DEM 32,000,000 (estimated)","$11,487,676",Wolfgang Petersen,86
Good Will Hunting,1997,R,2h 6m,8.3,"$10,000,000 (estimated)","$225,933,435",Gus Van Sant,70
Rear Window,1954,PG,1h 52m,8.5,"$1,000,000 (estimated)","$37,034,514",Alfred Hitchcock,100
Up,2009,PG,1h 36m,8.3,"$175,000,000 (estimated)","$735,099,102",Pete Docter,88
High and Low,1963,Not Rated,2h 23m,8.4,null,"$46,808",Akira Kurosawa,null
The Apartment,1960,Approved,2h 5m,8.3,"$3,000,000 (estimated)","$18,778,738",Billy Wilder,94
Capernaum,2018,R,2h 6m,8.4,"$4,000,000 (estimated)","$64,417,003",Nadine Labaki,75
The Kid,1921,Passed,1h 8m,8.3,"$250,000 (estimated)","$41,960",Charles Chaplin,null
Incendies,2010,R,2h 11m,8.3,"$6,800,000 (estimated)","$6,788,659",Denis Villeneuve,80
The Sting,1973,PG,2h 9m,8.3,"$5,500,000 (estimated)","$156,000,000",George Roy Hill,83
The Wolf of Wall Street,2013,R,3h,8.2,"$100,000,000 (estimated)","$392,000,694",Martin Scorsese,75
Memento,2000,R,1h 53m,8.4,"$9,000,000 (estimated)","$40,047,078",Christopher Nolan,80
Children of Heaven,1997,PG,1h 29m,8.2,"$180,000 (estimated)","$933,933",Majid Majidi,77
Citizen Kane,1941,PG,1h 59m,8.3,"$839,727 (estimated)","$1,645,133",Orson Welles,100
Rebecca,1940,Approved,2h 10m,8.1,"$1,288,000 (estimated)","$72,275",Alfred Hitchcock,86
Once Upon a Time in America,1984,R,3h 49m,8.3,"$30,000,000 (estimated)","$5,473,337",Sergio Leone,75
La Haine,1995,Not Rated,1h 38m,8.1,"€2,590,000 (estimated)","$412,914",Mathieu Kassovitz,null
Forrest Gump,1994,PG-13,2h 22m,8.8,"$55,000,000 (estimated)","$678,226,133",Robert Zemeckis,82
WALL·E,2008,G,1h 38m,8.4,"$180,000,000 (estimated)","$521,311,890",Andrew Stanton,95
The Battle of Algiers,1966,Not Rated,2h 1m,8.1,"$800,000 (estimated)","$962,002",Gillo Pontecorvo,96
Hamilton,2020,PG-13,2h 40m,8.4,null,null,Thomas Kail,90
Trainspotting,1996,R,1h 33m,8.1,"£1,500,000 (estimated)","$16,767,475",Danny Boyle,83
Alien,1979,R,1h 57m,8.5,"$11,000,000 (estimated)","$106,285,522",Ridley Scott,89
Interstellar,2014,PG-13,2h 49m,8.6,"$165,000,000 (estimated)","$701,729,206",Christopher Nolan,74
North by Northwest,1959,Approved,2h 16m,8.3,"$3,101,000 (estimated)","$142,319",Alfred Hitchcock,98
My Neighbor Totoro,1988,G,1h 26m,8.1,"$3,700,000 (estimated)","$30,574,632",Hayao Miyazaki,86
The Great Dictator,1940,G,2h 5m,8.4,"$2,000,000 (estimated)","$970,263",Charles Chaplin,null
Schindler's List,1993,R,3h 15m,9,"$22,000,000 (estimated)","$322,161,245",Steven Spielberg,94
Platoon,1986,R,2h,8.1,"$6,000,000 (estimated)","$138,545,632",Oliver Stone,92
The Green Mile,1999,R,3h 9m,8.6,"$60,000,000 (estimated)","$286,801,374",Frank Darabont,61
The Treasure of the Sierra Madre,1948,Passed,2h 6m,8.2,"$3,000,000 (estimated)","$5,014,000",John Huston,98
Your Name.,2016,TV-PG,1h 46m,8.4,"¥370,000,000 (estimated)","$358,180,115",Makoto Shinkai,79
Batman Begins,2005,PG-13,2h 20m,8.2,"$150,000,000 (estimated)","$373,672,993",Christopher Nolan,70
Léon: The Professional,1994,R,1h 50m,8.5,"FRF 115,000,000 (estimated)","$19,552,639",Luc Besson,64
Inception,2010,PG-13,2h 28m,8.8,"$160,000,000 (estimated)","$836,848,102",Christopher Nolan,74
The Lives of Others,2006,R,2h 17m,8.4,"$2,000,000 (estimated)","$77,356,942",Florian Henckel von Donnersmarck,89
Gone with the Wind,1939,Passed,3h 58m,8.2,"$3,977,000 (estimated)","$402,382,193",Victor Fleming,97
Aliens,1986,R,2h 17m,8.4,"$18,500,000 (estimated)","$131,060,248",James Cameron,84
Braveheart,1995,R,2h 58m,8.4,"$72,000,000 (estimated)","$213,216,216",Mel Gibson,68
Amores perros,2000,R,2h 34m,8.1,"$2,000,000 (estimated)","$20,908,467",Alejandro G. Iñárritu,83
The Third Man,1949,Approved,1h 33m,8.1,null,"$1,226,797",Carol Reed,97
A Separation,2011,PG-13,2h 3m,8.3,"$500,000 (estimated)","$22,926,076",Asghar Farhadi,95
V for Vendetta,2005,R,2h 12m,8.2,"$54,000,000 (estimated)","$132,511,035",James McTeigue,62
Green Book,2018,PG-13,2h 10m,8.2,"$23,000,000 (estimated)","$321,752,656",Peter Farrelly,69
City Lights,1931,G,1h 27m,8.5,"$1,500,000 (estimated)","$50,419",Charles Chaplin,99
